Wavelength,S1/R1c
400,108.1123555
401,106.1823452
402,107.1365134
403,105.3861012
404,104.2551747
405,106.1308004
406,106.448239
407,108.2373682
408,107.9489496
409,111.5940683
410,115.3734446
411,117.1792809
412,118.0785683
413,125.3546624
414,128.4428932
415,137.4001134
416,139.6662439
417,148.0304174
418,155.1891473
419,164.6098183
420,175.7219363
421,185.1243503
422,199.2235158
423,213.2726639
424,230.6499254
425,247.2953778
426,268.9445661
427,282.3269812
428,304.2806741
429,327.6770472
430,353.4354059
431,377.783518
432,404.6913297
433,428.0272854
434,452.9625799
435,485.7015682
436,516.9310341
437,539.5117788
438,568.4155606
439,604.8384933
440,626.0295726
441,662.4114218
442,690.4253945
443,725.569503
444,760.3949315
445,801.8733511
446,837.6924613
447,895.6506737
448,949.9718301
449,1012.114707
450,1078.543798
451,1148.738682
452,1221.072744
453,1309.61717
454,1403.366796
455,1503.529344
456,1604.897024
457,1717.407504
458,1811.288879
459,1915.391609
460,2020.729402
461,2125.953277
462,2233.058262
463,2339.394053
464,2418.79574
465,2510.665557
466,2580.831947
467,2682.941802
468,2761.354193
469,2833.759005
470,2885.866491
471,2903.45842
472,2979.197953
473,3047.477206
474,3109.693428
475,3178.239184
476,3253.393008
477,3357.750804
478,3466.604252
479,3576.613694
480,3722.91875
481,3898.942225
482,4042.347735
483,4241.075224
484,4434.545829
485,4627.027311
486,4841.023547
487,5074.997558
488,5294.149601
489,5505.629537
490,5695.603219
491,5897.847717
492,6139.417756
493,6327.627045
494,6465.410557
495,6630.857962
496,6758.732938
497,6860.443805
498,6923.396648
499,6972.192046
500,6999.526937
501,6949.591502
502,6883.240255
503,6785.152388
504,6693.735987
505,6534.363036
506,6305.013265
507,6064.212775
508,5808.259971
509,5459.422317
510,5082.870382
511,4744.24662
512,4368.503423
513,3957.461459
514,3568.443438
515,3208.479548
516,2851.533597
517,2485.495382
518,2197.719394
519,1890.652291
520,1620.830108
521,1391.033948
522,1193.758362
523,1004.78952
524,839.7120107
525,707.2307341
526,589.5600793
527,489.8773835
528,411.8204304
529,347.8151026
530,284.9013448
531,244.7719326
532,204.6365209
533,171.031289
534,140.8545307
535,121.9399241
536,105.9850453
537,92.17087994
538,78.03004686
539,70.91734429
540,61.09352432
541,55.28770515
542,51.25486508
543,43.67617282
544,41.67622308
545,39.74793406
546,37.71608341
547,35.4686962
548,37.4055848
549,36.93645345
550,38.04166334
551,38.04166334
552,38.04166334
553,38.04166334
554,38.04166334
555,38.04166334
556,38.04166334
557,38.04166334
558,38.04166334
559,38.04166334
560,38.04166334
561,38.04166334
562,38.04166334
563,38.04166334
564,38.04166334
565,38.04166334
566,38.04166334
567,38.04166334
568,38.04166334
569,38.04166334
570,38.04166334
571,38.04166334
572,38.04166334
573,38.04166334
574,38.04166334
575,38.04166334
576,38.04166334
577,38.04166334
578,38.04166334
579,38.04166334
580,38.04166334
